alpha,CL,CD,CM
-10.0,-1.0808,0.01498,-0.0053
-9.5,-1.0365,0.01426,-0.0034
-9.0,-0.9949,0.01341,-0.0009
-8.5,-0.9512,0.01283,0.0013
-8.0,-0.9102,0.01211,0.004
-7.5,-0.8687,0.01149,0.0067
-7.0,-0.8269,0.01094,0.0093
-6.5,-0.7633,0.01036,0.0073
-6.0,-0.6939,0.00973,0.0041
-5.5,-0.6267,0.00912,0.0013
-5.0,-0.5571,0.00848,-0.0019
-4.0,-0.4276,0.00728,-0.0061
-3.5,-0.3729,0.00681,-0.0057
-3.0,-0.3201,0.0064,-0.0048
-2.5,-0.2674,0.00607,-0.0039
-2.0,-0.2144,0.00581,-0.003
-1.5,-0.1611,0.00562,-0.0021
-1.0,-0.1075,0.00549,-0.0014
-0.5,-0.0538,0.00542,-0.0007
0.0,0.0,0.0054,-0.0
0.5,0.0538,0.00542,0.0007
1.0,0.1075,0.00549,0.0014
1.5,0.1611,0.00562,0.0021
2.0,0.2144,0.00581,0.003
2.5,0.2675,0.00607,0.0038
3.0,0.3201,0.0064,0.0048
3.5,0.3729,0.00681,0.0057
4.0,0.4277,0.00728,0.0061
4.5,0.4902,0.00787,0.0045
5.0,0.5571,0.00848,0.0019
5.5,0.6267,0.00912,-0.0013
6.0,0.694,0.00973,-0.0041
6.5,0.7634,0.01036,-0.0074
7.0,0.8268,0.01094,-0.0093
7.5,0.8686,0.01149,-0.0067
8.0,0.9101,0.01211,-0.004
8.5,0.9512,0.01283,-0.0013
9.0,0.9949,0.01341,0.001
9.5,1.0365,0.01426,0.0034
10.0,1.0809,0.01498,0.0053
10.5,1.1225,0.01606,0.0074
11.0,1.1665,0.01693,0.0091
11.5,1.2056,0.0182,0.0113
12.0,1.2453,0.01934,0.0134
12.5,1.2833,0.02052,0.0156
13.0,1.3151,0.02198,0.0184
13.5,1.3275,0.02424,0.0236
14.0,1.3502,0.02607,0.0267
14.5,1.3672,0.02853,0.0294
15.0,1.3809,0.03163,0.0311
15.5,1.3898,0.03569,0.0315
16.0,1.3853,0.04192,0.0302
16.5,1.3615,0.05155,0.0262
17.0,1.3336,0.06257,0.021
17.5,1.3051,0.07425,0.0151
18.0,1.2686,0.0877,0.0083
18.5,1.2285,0.10222,0.0009
19.0,1.1885,0.11729,-0.0069
19.5,1.1516,0.1324,-0.0151
20.0,1.1154,0.14819,-0.0241
