alpha,CL,CD,CM
-9.5,-1.0564,0.00839,-0.0017
-9.0,-1.0025,0.00803,-0.0014
-8.5,-0.9503,0.00768,-0.0007
-8.0,-0.8969,0.0074,-0.0001
-7.5,-0.8431,0.00711,0.0003
-7.0,-0.7884,0.00686,0.0006
-6.5,-0.7332,0.00664,0.0007
-6.0,-0.6777,0.00644,0.0009
-5.5,-0.6219,0.00627,0.0009
-5.0,-0.5659,0.0061,0.0009
-4.5,-0.5096,0.00596,0.0009
-4.0,-0.4534,0.00579,0.0009
-3.5,-0.397,0.00566,0.0008
-3.0,-0.3405,0.00552,0.0008
-2.5,-0.284,0.00541,0.0007
-2.0,-0.2273,0.00528,0.0006
-1.5,-0.1707,0.0052,0.0004
-1.0,-0.1137,0.00514,0.0003
-0.5,-0.0569,0.00508,0.0002
0.0,0.0,0.00509,-0.0
0.5,0.0569,0.00508,-0.0002
1.0,0.1137,0.00514,-0.0003
1.5,0.1707,0.00521,-0.0005
2.0,0.2274,0.00528,-0.0006
2.5,0.284,0.0054,-0.0007
3.0,0.3405,0.00553,-0.0007
3.5,0.397,0.00567,-0.0008
4.0,0.4535,0.00579,-0.0009
4.5,0.5096,0.00596,-0.0009
5.0,0.5658,0.0061,-0.0009
5.5,0.6218,0.00627,-0.0009
6.0,0.6777,0.00644,-0.0009
6.5,0.7331,0.00664,-0.0007
7.0,0.7884,0.00686,-0.0006
7.5,0.8431,0.00711,-0.0003
8.0,0.8969,0.0074,0.0001
8.5,0.9502,0.00768,0.0007
9.0,1.0025,0.00803,0.0014
9.5,1.0565,0.00839,0.0017
10.0,1.1135,0.00882,0.0012
10.5,1.1735,0.00924,0.0
11.0,1.232,0.00976,-0.0009
11.5,1.2853,0.01022,-0.0007
12.0,1.3329,0.01068,0.0007
12.5,1.3815,0.01124,0.0017
13.0,1.4299,0.01186,0.0027
13.5,1.4789,0.0124,0.0036
14.0,1.5269,0.013,0.0046
14.5,1.5732,0.01368,0.0057
15.0,1.6175,0.01446,0.0072
15.5,1.6596,0.01533,0.0089
16.0,1.7004,0.01618,0.0107
16.5,1.7395,0.01702,0.0127
17.0,1.7707,0.01795,0.016
17.5,1.7966,0.01908,0.0198
18.0,1.8201,0.02048,0.0233
18.5,1.8402,0.02225,0.0265
19.0,1.8557,0.02457,0.0292
19.5,1.8673,0.02752,0.0313
20.0,1.874,0.03129,0.0324
